,sample.ID,genotype,replicate,guide,target,harvest,condition,treatment,group,sample.name,ID.harvests,colnames
EZH2.5_K27M+_1_A,39,K27M+,1,EZH2.5,EZH2,A,EZH2.5_K27M+,EZH2_K27M+,EZH2_K27M+_A,EZH2.5_K27M+_1_A,X39A,X39A_R1_001
EZH2.5_K27M+_1_B,39,K27M+,1,EZH2.5,EZH2,B,EZH2.5_K27M+,EZH2_K27M+,EZH2_K27M+_B,EZH2.5_K27M+_1_B,X39B,X39B_R1_001
CBX8.1_K27M+_1_A,41,K27M+,1,CBX8.1,CBX8,A,CBX8.1_K27M+,CBX8_K27M+,CBX8_K27M+_A,CBX8.1_K27M+_1_A,X41A,X41A_R1_001
CBX8.1_K27M+_1_B,41,K27M+,1,CBX8.1,CBX8,B,CBX8.1_K27M+,CBX8_K27M+,CBX8_K27M+_B,CBX8.1_K27M+_1_B,X41B,X41B_R1_001
CBX8.2_K27M+_1_A,43,K27M+,1,CBX8.2,CBX8,A,CBX8.2_K27M+,CBX8_K27M+,CBX8_K27M+_A,CBX8.2_K27M+_1_A,X43A,X43A_R1_001
CBX8.2_K27M+_1_B,43,K27M+,1,CBX8.2,CBX8,B,CBX8.2_K27M+,CBX8_K27M+,CBX8_K27M+_B,CBX8.2_K27M+_1_B,X43B,X43B_R1_001
BMI1.1_K27M+_1_A,45,K27M+,1,BMI1.1,BMI1,A,BMI1.1_K27M+,BMI1_K27M+,BMI1_K27M+_A,BMI1.1_K27M+_1_A,X45A,X45A_R1_001
BMI1.1_K27M+_1_B,45,K27M+,1,BMI1.1,BMI1,B,BMI1.1_K27M+,BMI1_K27M+,BMI1_K27M+_B,BMI1.1_K27M+_1_B,X45B,X45B_R1_001
BMI1.3_K27M+_1_A,47,K27M+,1,BMI1.3,BMI1,A,BMI1.3_K27M+,BMI1_K27M+,BMI1_K27M+_A,BMI1.3_K27M+_1_A,X47A,X47A_R1_001
BMI1.3_K27M+_1_B,47,K27M+,1,BMI1.3,BMI1,B,BMI1.3_K27M+,BMI1_K27M+,BMI1_K27M+_B,BMI1.3_K27M+_1_B,X47B,X47B_R1_001
