,Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,effect,target,Label
2091,CH25H,0.446170939921383,0,0.936749982755717,1,NA,NS,PcB target,NA
2092,SLC16A12,2.17376894288346,0.0645731893406739,0.624005201773609,0.747131149545733,NA,NS,PcB target,NA
2093,HTR7,1.45353975882213,0.373197059127211,1.0198646828372,0.153878885985979,NA,NS,PcB target,NA
2094,CYP26A1,0,0,1.10277457851932,NA,NA,NS,PcB target,NA
2095,ACSM6,0.531097479732647,0.141949175349562,0.941859862064145,0.458472787611896,NA,NS,PcB target,NA
2096,OPALIN,0.0923438790464213,0.0172280834286552,1.04405659725962,0.87703439767416,NA,NS,PcB target,NA
2097,LINC01475,0.523113415260686,0,1.01595198243397,1,NA,NS,PcB target,NA
2098,NKX2-3,2.24701285894136,0.139381767924593,0.747246364242961,0.501667954403547,NA,NS,PcB target,NA
2099,WNT8B,1.22777061497926,-0.399841969826809,1.05465533432028,0.137172257047723,NA,NS,PcB target,NA
2100,PAX2,2.36538019887718,0.040994692996363,0.649077015994616,0.835638433411566,NA,NS,PcB target,NA
2101,TLX1NB,1.29366438947994,0.013022225156393,0.700825394512397,0.946715562467414,NA,NS,PcB target,NA
2102,TLX1,0.467143284733938,-0.0315162290000773,1.02534979003469,0.803938867829486,NA,NS,PcB target,NA
2103,LINC01514,0.0714063082928622,0.0175171879702799,1.04411924465942,0.874969915000855,NA,NS,PcB target,NA
2104,LBX1,2.9002717294805,-0.181785284724396,0.786526889938555,0.398204216552755,NA,NS,PcB target,NA
2105,LBX1-AS1,1.39666208303179,-0.0788227473419101,0.792876861860871,0.686840405767184,NA,NS,PcB target,NA
2106,FGF8,0.817054302690041,0.0752587779569701,0.897192612931728,0.679802414902571,NA,NS,PcB target,NA
2107,PITX3,0.85814821585622,0.219430430681892,0.995486132588628,0.2972940818399,NA,NS,PcB target,NA
2108,COL17A1,3.2814829640412,0.604928707430252,1.06151641933188,0.0618702743755698,NA,NS,PcB target,NA
2109,MIR3663HG,0.481488086299511,-0.0315726616177216,0.971136375865242,0.837794110187258,NA,NS,PcB target,NA
2110,MIR3663,0,0,1.10277457851932,NA,NA,NS,PcB target,NA
2111,EMX2OS,2.60620193553053,-0.278069957734286,0.863494451816687,0.241332909723992,NA,NS,PcB target,NA
2112,EMX2,2.73320239831001,-0.374750604716977,0.995996380253775,0.153534879918564,NA,NS,PcB target,NA
2113,HMX2,0.47555137217486,-0.0421452524691247,0.929182397685747,0.803583037946989,NA,NS,PcB target,NA
2114,NKX1-2,0.371434206226726,0,1.0429310311205,1,NA,NS,PcB target,NA
2115,NLRP6,0.323175587687768,0,1.04293103112248,1,NA,NS,PcB target,NA
2116,DUSP8,3.17603807497859,-0.280492348203229,0.790203322261192,0.238144212510876,NA,NS,PcB target,NA
2117,CASC23,0.146523243443042,0.0175246479399139,1.04412094736583,0.87491657782042,NA,NS,PcB target,NA
2118,CALCA,0.216777169646033,-0.0271859151469522,1.04521555299006,0.808089833746279,NA,NS,PcB target,NA
2119,SNORD147,0,0,1.10277457851932,NA,NA,NS,PcB target,NA
2120,CSRP3,1.07216260586209,-0.141213421945055,0.85439655691442,0.486067327777929,NA,NS,PcB target,NA
2121,WT1-AS,0.189723339421608,0,1.04293103113393,1,NA,NS,PcB target,NA
2122,FBXO3-DT,0,0,1.10277457851932,NA,NA,NS,PcB target,NA
2123,MIR129-2,0,0,1.10277457851932,NA,NA,NS,PcB target,NA
2124,ALX4,1.64644512996001,0.0751013366914757,0.650091350775649,0.707852152462269,NA,NS,PcB target,NA
2125,LOC101928894,0.633704614241987,-0.0140556958999514,1.04361839946246,0.89955449623201,NA,NS,PcB target,NA
2126,MIR4488,0.129068930267854,0,1.04293103113263,1,NA,NS,PcB target,NA
2127,SCGB1A1,0.253591322087724,-0.0289239779516992,1.04140884654823,0.801819627463739,NA,NS,PcB target,NA
2128,MIR1237,0,0,1.10277457851932,NA,NA,NS,PcB target,NA
2129,SLC22A12,0.514623389782581,0.0616341873914733,0.990244300358012,0.685357846663129,NA,NS,PcB target,NA
2130,GPHA2,0.573409807582799,-0.0811140049162291,0.960506045921595,0.629528335816099,NA,NS,PcB target,NA
2131,MAJIN,0.850489114901211,-0.192016077066422,0.948840387427204,0.354215201231966,NA,NS,PcB target,NA
2132,ARL2-SNX15,1.12064869655541,0.0123606286109298,0.747589253870972,0.948908525081076,NA,NS,PcB target,NA
2133,SNX15,0,0,1.10277457851932,NA,NA,NS,PcB target,NA
2134,OVOL1-AS1,0,0,1.10277457851932,NA,NA,NS,PcB target,NA
2135,TSGA10IP,2.78307156949663,-0.351335266840035,0.893813759161409,0.170178344377618,NA,NS,PcB target,NA
2136,CST6,0.844406627262496,0.00500022150564499,0.84898852503636,0.978248249300328,NA,NS,PcB target,NA
2137,CATSPER1,3.34180648727296,-0.353063649489185,0.804947620828804,0.16607588653517,NA,NS,PcB target,NA
2138,ACY3,1.39736067744178,-0.26362505298844,0.97005337860382,0.25036645458056,NA,NS,PcB target,NA
2139,GAL,3.35092517837945,-0.383520280210408,0.877593554625098,0.146082319862662,NA,NS,PcB target,NA
2140,MRGPRF-AS1,0.514071360916525,0.116125195260723,0.97400905351053,0.507073060198021,NA,NS,PcB target,NA
2141,FGF19,0.503280179784769,0.0680239557789434,0.993005658893127,0.655889776574706,NA,NS,PcB target,NA
2142,MIR548AL,0,0,1.10277457851932,NA,NA,NS,PcB target,NA
2143,HTR3B,0.501088432885457,0,0.943939950725195,1,NA,NS,PcB target,NA
2144,ABCG4,0.786826938252158,0.134974833652612,0.900094630356744,0.491413948588939,NA,NS,PcB target,NA
2145,TRIM29,1.11135210908179,-0.342413518086776,1.11286810266385,0.161541875175975,NA,NS,PcB target,NA
2146,BSX,0.022405053975525,0,1.04293103114072,1,NA,NS,PcB target,NA
2147,BARX2,2.12833850127112,0.421879147823244,1.05948186856996,0.125798982015489,NA,NS,PcB target,NA
2148,LOC574538,0,0,1.10277457851932,NA,NA,NS,PcB target,NA
2149,SLC6A13,2.0314477879552,-0.0836199968360347,0.655870532965043,0.677672986562618,NA,NS,PcB target,NA
2150,NINJ2,1.15080767242322,0.099253794364041,0.720249935742977,0.622415046823708,NA,NS,PcB target,NA
2151,LINC00942,0.815875665483951,-0.0679577761415362,0.815778390235794,0.723694856232205,NA,NS,PcB target,NA
2152,MIR3649,0,0,1.10277457851932,NA,NA,NS,PcB target,NA
2153,SCNN1A,0.433783382449218,0.001015412769168,1.02456406203043,0.993497608596673,NA,NS,PcB target,NA
2154,LOC440084,0.426339041176603,0.0329102339158131,0.939961896627471,0.842089829174289,NA,NS,PcB target,NA
2155,LINC01252,0.262539747153213,0.0413564979889318,1.048697875235,0.713000443632928,NA,NS,PcB target,NA
2156,GPRC5A,2.97966912191816,0.211278464453356,0.660543957196989,0.342488211915228,NA,NS,PcB target,NA
2157,GSG1,1.08030525625582,0.234411254645269,0.97353811566595,0.284537793036901,NA,NS,PcB target,NA
2158,SPX,2.71355770143583,-0.336299090471073,0.880366703703572,0.182373850335962,NA,NS,PcB target,NA
