,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,target,avgcounts
8212,PPP1R11_6,135.484643635323,-0.124752881867142,0.223216125773617,-0.558888303588178,0.576237952382972,1,Non-PcB,3.79414670967107
8213,PPP1R12A,811.745446154378,0.0626650148936869,0.148209762580937,0.422813003694448,0.672431699365579,1,Non-PcB,6.09772471557269
8214,PPP1R12A-AS2,335.858520904705,0.23631790333427,0.15775684755384,1.49798824582634,0.134136304370834,1,Non-PcB,4.89023610276497
8215,PPP1R12B,414.37125952386,-0.124904296262348,0.165090561707585,-0.756580479043882,0.449301240107327,1,Non-PcB,5.23595953808963
8216,PPP1R12C,401.328905517663,-0.165138739150527,0.177231616344793,-0.931767946127962,0.351456463358237,1,Non-PcB,5.22759848620368
8217,PPP1R13B,179.463968443659,-0.0450451583411257,0.197729079088818,-0.227812512700228,0.819791998727664,1,Non-PcB,4.6414683469369
8218,PPP1R14B,2103.37407103004,0.00143213189012974,0.14679931316118,0.00975571247092493,0.992216191109288,1,Non-PcB,8.06121509198885
8219,PPP1R14B-AS1,1498.7165048503,0.0687274539890191,0.162381382517829,0.423247129217371,0.672114964468254,1,Non-PcB,7.54715204123287
8220,PPP1R14C,1008.98646781104,-0.405115396145335,0.118327645552954,-3.4236749514638,0.000617804699063042,0.186405137567768,PcB target,6.7886137203347
8221,PPP1R15A,1559.44870369111,-0.0669774106112613,0.163271741435204,-0.410220470624686,0.681644225690842,1,Non-PcB,7.24745188756247
8222,PPP1R15B,1434.63037653022,0.00253518953426048,0.126613518523595,0.0200230557038666,0.984024980459075,1,Non-PcB,6.86493111306314
8223,PPP1R16A,396.721808713236,-0.239990480389426,0.188413965833826,-1.27374040096947,0.202755433255656,1,Non-PcB,5.61415578371783
8224,PPP1R2,478.130639035799,0.120719277157646,0.149616599002654,0.806857514222098,0.419748578702561,1,Non-PcB,5.75116543073426
8225,PPP1R21,178.416281090808,-0.168327431516867,0.187023225694695,-0.900034906849764,0.368101674589634,1,Non-PcB,3.90216052601749
8226,PPP1R26,335.675345339779,-0.0298789266955738,0.164778578022773,-0.181327737222276,0.856110335730268,1,Non-PcB,5.34773668345859
8227,PPP1R35,97.5128377974244,0.135257017916938,0.280777328797999,0.481723430078811,0.630002429474952,1,Non-PcB,3.44898266479337
8228,PPP1R37,289.715055267182,-0.279702350535348,0.20861064837324,-1.34078654525302,0.179989765851262,1,Non-PcB,4.76545000538687
8229,PPP1R3C,54.9926009757422,0.389526581197736,0.453603653230887,0.858737751389899,0.390485217610019,1,Non-PcB,2.07710740477767
8230,PPP1R3E,70.0489925954407,0.031437979325751,0.281617921725542,0.111633446952249,0.911114050935873,1,Non-PcB,3.24972954068339
8231,PPP1R3F,177.06015461671,0.0731449147202543,0.185132454014964,0.395095042138544,0.692772747657847,1,Non-PcB,4.58190738569473
8232,PPP1R7,700.403092568673,0.0263644648978254,0.124572785291112,0.211639041675232,0.832388648338302,1,Non-PcB,6.16837159494198
8233,PPP1R8,878.472064968736,0.0793534732373519,0.106331558358496,0.746283365563143,0.455496257783946,1,Non-PcB,6.2579136198989
8234,PPP1R9A,267.588499920961,-0.239999568637502,0.171467436793746,-1.39968015574988,0.161609118851087,1,Non-PcB,5.06236832778679
8235,PPP1R9B,1438.01132506851,-0.0570194353354277,0.119757453535858,-0.476124313367727,0.633985816458922,1,PcB target,7.31804773108365
8236,PPP2CA,2183.23462877531,0.0552904390503945,0.0825876791168608,0.669475636579629,0.50319211709257,1,Non-PcB,7.83625913987752
8237,PPP2CB,1214.7608610342,-0.131486990426005,0.0909649025736698,-1.44546948005048,0.148326059655049,1,Non-PcB,7.1625347005951
8238,PPP2R1A,4320.75789623505,0.0129535365956211,0.120252005868385,0.107719921194484,0.91421786663531,1,Non-PcB,8.67083143288062
8239,PPP2R1B,764.096518865285,0.156044376905572,0.113469014144699,1.37521576336761,0.169064562687946,1,Non-PcB,6.22302526610153
8240,PPP2R2A,591.669356762213,0.114817749503019,0.113290593324833,1.01347999099809,0.310830948696719,1,Non-PcB,6.01103251676439
8241,PPP2R2B,61.2839375210832,0.229355853861825,0.424905890632172,0.539780358235541,0.589348514281878,1,PcB target,1.58647414529823
8242,PPP2R2D,1013.02384137751,0.107750221963844,0.187321924235588,0.575214152873694,0.565146472200421,1,Non-PcB,6.73369992721257
8243,PPP2R3A,232.148400712078,-0.449295210726408,0.175871186551447,-2.55468345632032,0.0106284404559703,0.661436262237639,Non-PcB,4.59199401280616
8244,PPP2R3B_3,111.249451925605,0.796963458154277,0.32876725237837,2.42409623339575,0.015346538182212,0.739681424881633,Non-PcB,3.89248797844644
8245,PPP2R3C,468.225853573685,-0.159329608199876,0.167140061029512,-0.953270013295872,0.340453280733342,1,Non-PcB,5.57411606809363
8246,PPP2R5A,535.243418499517,-0.00711158189565157,0.118870501796741,-0.0598262965845959,0.952293981438236,1,Non-PcB,5.34923569919737
8247,PPP2R5B,246.82490135169,-0.272684421681587,0.174463078125592,-1.56299215061015,0.118054441090029,1,Non-PcB,5.38108247949137
8248,PPP2R5C,758.891988849091,0.0958017745100179,0.128506885303829,0.745499155811875,0.455970021294379,1,Non-PcB,6.31697436294468
8249,PPP2R5D,1465.70481971557,0.038707305200147,0.0857567420973702,0.451361656861892,0.651728913598403,1,Non-PcB,7.43069369849562
8250,PPP2R5E,537.584178991243,0.127025403089061,0.133894563771596,0.948697239909962,0.342774618222829,1,Non-PcB,5.84769687472985
8251,PPP3CA,705.789717926633,0.076574841652655,0.106418887884521,0.719560626641289,0.471795561628762,1,Non-PcB,6.45415345398795
8252,PPP3CB,510.661887957367,-0.0097607513304362,0.132070616318112,-0.073905548429682,0.941085540917001,1,Non-PcB,5.7932730999509
8253,PPP3CB-AS1,141.635265903338,0.0751294665649385,0.24149278844736,0.311104389692013,0.755721264140083,1,Non-PcB,3.66979995705442
8254,PPP3CC,153.748215106347,-0.0225176563141617,0.195827194802971,-0.114987381281837,0.908455123975166,1,Non-PcB,4.25345950300252
8255,PPP3R1,621.63189989189,-0.132594752571326,0.126879521427505,-1.0450445515519,0.296002379227548,1,Non-PcB,5.63913877626061
8256,PPP4C,1716.64234838891,0.0396143924198595,0.100766421140545,0.393130885978443,0.694222813139802,1,Non-PcB,7.44936309484311
8257,PPP4R1,549.408579390263,0.144768503529431,0.128214774220523,1.12910937455957,0.258851697162454,1,Non-PcB,6.0330163825729
8258,PPP4R2,429.442750696975,0.225101736633738,0.161729914943067,1.39183735249586,0.163971656120904,1,Non-PcB,5.32448215355076
8259,PPP4R3A,642.927059431339,-0.00279789867215154,0.121976415604201,-0.0229380299321991,0.981699704869128,1,Non-PcB,6.098246658798
8260,PPP4R3B,1293.15255769032,0.038181610472116,0.113754254866793,0.335649954516664,0.737134848898925,1,Non-PcB,6.80011128471786
8261,PPP5C,1188.42657320177,0.083880625789499,0.0918771621268718,0.912964918024672,0.361260992707721,1,Non-PcB,6.80878835078623
8262,PPP6C,357.444169852371,0.0562421718982996,0.141495229778346,0.397484579419416,0.691010155785303,1,Non-PcB,5.23541822538458
8263,PPP6R1,1074.03009824563,0.0234619273271004,0.120652173737261,0.194459217769192,0.845816325661645,1,Non-PcB,6.82615754743359
8264,PPP6R2,1129.06347477886,-0.0718044213578891,0.112975973271507,-0.635572496333592,0.525055100709521,1,Non-PcB,7.36005992988588
8265,PPP6R3,1440.01531014488,0.00223223323164018,0.0986812434836145,0.0226206435269619,0.981952876886842,1,Non-PcB,7.49170479907162
8266,PPRC1,1115.31195593571,-0.119696267313741,0.16701427722521,-0.716682844738696,0.473569813567809,1,Non-PcB,6.93167983982987
8267,PPT1,3393.30318646411,0.0132644010072365,0.0829369173534926,0.159933614975116,0.872933368416787,1,Non-PcB,8.13383019517692
8268,PPTC7,400.735325424901,0.225202406273791,0.158602190166327,1.41991990172154,0.155631001251701,1,Non-PcB,5.10169652011285
8269,PPWD1,279.463137932176,0.122609284811975,0.19195191244902,0.638750003829936,0.522985577491216,1,Non-PcB,4.65375696435746
8270,PQBP1,1272.59874962491,0.0581825436674453,0.0981035571774853,0.593072721738149,0.553132485169935,1,Non-PcB,7.15477056315757
8271,PRADC1,141.255130784007,-0.413218204301961,0.267609826482062,-1.54410699238527,0.122562415191154,1,Non-PcB,3.42366308927482
8272,PRADX,491.637307572155,-0.268396171546046,0.171720104387545,-1.56298630555406,0.118055815929775,1,Non-PcB,5.94683289686563
8273,PRAF2,372.005131489322,-0.190385731059885,0.17491676462964,-1.08843615683721,0.276402606552477,1,Non-PcB,5.31318118057014
8274,PRAG1,382.094029667543,-0.28099722532114,0.206302737970963,-1.362062511069,0.173178158127274,1,PcB target,6.06336333521362
8275,PRAME_1,75.6109803529302,1.6703279457741,0.922988346336607,1.80969559627023,0.0703430058212425,0.96981009236734,Non-PcB,3.37214986843139
8276,PRC1,1827.45884536268,0.229815316637963,0.16284325385208,1.41126703871146,0.158165889601828,1,Non-PcB,7.59598558978105
8277,PRC1-AS1,1736.79324799331,0.242008927000025,0.170748598336431,1.41734063622114,0.156383359764143,1,Non-PcB,7.5090038806496
8278,PRCC,1939.88027209741,0.029070197393041,0.106977130861569,0.271742167311054,0.785820276030742,1,Non-PcB,7.48119526725869
8279,PRCP,828.245997571935,-0.00755793559577635,0.130363197290456,-0.0579759913293387,0.953767752495725,1,Non-PcB,5.955129428228
8280,PRDM10,157.356365703364,0.0074150676730809,0.215096766757763,0.0344731712375369,0.972499835879216,1,Non-PcB,3.99985735822843
8281,PRDM11,143.90852534021,0.127835800674237,0.241226927058512,0.529940012224377,0.596153523101874,1,Non-PcB,4.28996280730351
8282,PRDM15,226.371224109535,-0.0427735551968437,0.167581111826222,-0.255240908302356,0.798537036888236,1,Non-PcB,4.67247772756398
8283,PRDM16,166.518718470232,-1.09776193174716,0.803006799063775,-1.36706430509311,0.171605150376395,1,Non-PcB,-0.748121583565941
8284,PRDM2,837.687598023086,-0.0146891739718989,0.120902786693241,-0.121495743594139,0.903298385850709,1,Non-PcB,6.41956085273196
8285,PRDM4,539.33105975568,-0.120576028887602,0.117279275035711,-1.02811028505153,0.303897953138032,1,Non-PcB,5.70452124944338
8286,PRDM4-AS1,352.084256577623,-0.229859766899193,0.144264600150674,-1.59332065287756,0.11108827582786,1,Non-PcB,5.11891522641981
