,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,target,avgcounts
6959,NDUFAF4,288.546788980721,-0.285869257099181,0.165068641501355,-1.7318204990306,0.083305527157293,0.517967452330645,Non-PcB,5.16585849038104
6960,NDUFAF5,174.696269219012,-0.351707575878111,0.262839698250619,-1.33810675563459,0.18086163886784,0.648736987726873,Non-PcB,3.63587344148913
6961,NDUFAF6,357.030499270503,0.295444530920381,0.20062937914143,1.47258857194645,0.140862008156123,0.603738355927898,Non-PcB,5.31779027391863
6962,NDUFAF7,447.729011605735,0.0178813718887086,0.169336752084637,0.105596520947628,0.915902485200575,0.984209234486056,Non-PcB,5.4072202182947
6963,NDUFAF8,279.492574565069,-0.130867559752992,0.1730682695855,-0.756161485097303,0.449552381622439,0.832914220983888,PcB target,4.86906466317259
6964,NDUFB1,126.478221469877,0.0898370533511318,0.227512152722552,0.394867053368736,0.692941005908268,0.921570388440533,Non-PcB,3.79352533930643
6965,NDUFB10,567.731851227246,0.0247051804638648,0.115586956245163,0.213736750810051,0.830752350518933,0.964271231778966,Non-PcB,5.89196632991613
6966,NDUFB11,1287.67975162093,0.365796133651563,0.123784881613819,2.95509539519346,0.00312572385718256,0.211097638117809,Non-PcB,6.96679415593364
6967,NDUFB2,614.719043094458,0.183100720991309,0.143455308864761,1.27636071777534,0.201828035669069,0.673706913541122,Non-PcB,5.85492386717247
6968,NDUFB2-AS1,518.269240504368,-0.000493315936483659,0.138061497659361,-0.00357316083663539,0.997149036201788,1,Non-PcB,5.77378376906202
6969,NDUFB3,209.259175835542,-0.0802989423788979,0.167830963064312,-0.478451299526463,0.632329028796851,0.907986945670066,Non-PcB,4.5627045669184
6970,NDUFB3P1,68.7636372296634,0.134088965559785,0.341513355808839,0.392631688568107,0.694591531247031,0.922039085460024,Non-PcB,2.66493648615922
6971,NDUFB4,620.798584857404,0.241066495526285,0.147410715975325,1.6353390181392,0.101977998421568,0.543666419914136,Non-PcB,6.09446313674525
6972,NDUFB5,710.694310095001,-0.0827628105864989,0.156602993178985,-0.528488050620512,0.597160638608665,0.893220979592441,Non-PcB,6.32402549664872
6973,NDUFB6,289.713107240465,0.0101906922412732,0.183568775661341,0.0555143008638551,0.955728737077793,0.994179160290066,Non-PcB,4.94923791147131
6974,NDUFB7,425.502547793133,-0.00789095916667194,0.154610351837922,-0.0510377156048649,0.959295466989945,0.994663750868575,Non-PcB,5.56372085710899
6975,NDUFB8,927.396348190324,-0.0679285124576477,0.114530072720843,-0.593106341800877,0.553109986548343,0.877368535129239,Non-PcB,6.7264376272122
6976,NDUFB9,658.157514670859,0.0374206015949882,0.122907158736861,0.304462343606071,0.760775677247812,0.942609012288808,Non-PcB,6.30892685413481
6977,NDUFC1,306.950614214152,0.122274037180849,0.19219795051878,0.636188038690356,0.524653868417779,0.8679314785591,Non-PcB,5.03354864245384
6978,NDUFS1,1547.09295584817,0.00452987034179712,0.0874602087476899,0.0517935002289457,0.958693234667793,0.994496421922741,Non-PcB,7.50806726179504
6979,NDUFS2,2751.0075302903,0.0546130039904721,0.0754351666258642,0.723972736235027,0.469082473197355,0.842766295635836,Non-PcB,7.46988899103757
6980,NDUFS3,457.649476439439,0.0626747108112143,0.155917037685096,0.401974740809261,0.687702615865787,0.921570388440533,Non-PcB,5.5640535495372
